Datetime,METAR
2025-12-09 10:52 UTC,METAR WSSS 091030Z 35011KT 9999 FEW018 BKN300 28/22 Q1008 NOSIG
2025-12-09 11:49 UTC,METAR WSSS 091130Z 35008KT 9999 FEW018 BKN300 28/23 Q1009 NOSIG
2025-12-09 13:48 UTC,METAR WSSS 091330Z 36009KT 9999 FEW018 BKN070 27/23 Q1011 NOSIG
2025-12-09 14:49 UTC,METAR WSSS 091430Z 36009KT 9999 FEW018 BKN080 27/23 Q1011 NOSIG
2025-12-09 15:59 UTC,METAR WSSS 091530Z 35008KT 9999 FEW018 SCT080 27/23 Q1011 NOSIG
2025-12-09 16:56 UTC,METAR WSSS 091630Z 34005KT 310V010 9999 FEW018 BKN300 26/23 Q1011 NOSIG
2025-12-09 17:44 UTC,METAR WSSS 091730Z 33005KT 290V360 9999 FEW018 BKN150 26/23 Q1010 NOSIG
2025-12-09 18:54 UTC,METAR WSSS 091830Z 33004KT 300V360 9999 FEW018 SCT160 BKN300 26/23 Q1009 NOSIG
2025-12-09 19:25 UTC,METAR WSSS 091900Z 33005KT 9999 FEW018 SCT160 BKN300 26/23 Q1009 NOSIG
2025-12-09 19:58 UTC,METAR WSSS 091930Z 33005KT 310V010 9999 FEW018 SCT160 BKN300 26/23 Q1009 NOSIG
2025-12-09 20:37 UTC,METAR WSSS 092030Z 33005KT 290V350 9999 FEW018 BKN300 26/23 Q1009 NOSIG
2025-12-09 21:33 UTC,METAR WSSS 092130Z 34005KT 9000 FEW018 BKN300 25/23 Q1009 NOSIG
2025-12-09 22:38 UTC,METAR WSSS 092230Z 35005KT 9000 FEW018 BKN300 25/23 Q1009 NOSIG
2025-12-09 23:32 UTC,METAR WSSS 092300Z 33005KT 290V360 9000 FEW018 BKN300 25/23 Q1009 NOSIG
2025-12-09 23:49 UTC,METAR WSSS 092330Z 33005KT 300V360 9999 FEW018 BKN300 26/23 Q1010 NOSIG
2025-12-10 01:34 UTC,METAR WSSS 100130Z 36008KT 310V020 9999 FEW018 BKN160 28/24 Q1011 NOSIG
2025-12-10 04:04 UTC,METAR WSSS 100400Z 35009KT 320V030 9999 SCT020 SCT170 BKN300 31/24 Q1010 NOSIG
2025-12-10 04:59 UTC,METAR WSSS 100430Z 35007KT 310V020 9999 SCT020 SCT170 BKN300 31/23 Q1010 NOSIG
2025-12-10 05:44 UTC,METAR WSSS 100530Z 01010KT 340V040 9999 FEW018TCU SCT020 BKN160 31/24 Q1009 NOSIG
2025-12-10 06:58 UTC,METAR WSSS 100630Z 36012KT 9999 -SHRA FEW017TCU SCT030 30/24 Q1008 NOSIG
2025-12-10 07:41 UTC,METAR WSSS 100730Z 36010KT 9000 -TSRA FEW016CB FEW017TCU SCT030 28/23 Q1007 BECMG FM0800 TL0815 NSW
2025-12-10 08:55 UTC,METAR WSSS 100830Z 01003KT 300V080 6000 -TSRA FEW016CB FEW017TCU SCT150 26/25 Q1007 BECMG FM0915 TL0930 NSW
2025-12-10 09:47 UTC,METAR WSSS 100930Z 31004KT 240V360 2000 +TSRA FEW008 FEW014CB SCT016TCU BKN150 25/24 Q1008 BECMG FM0945 TL1000 6000 NSW
2025-12-10 10:53 UTC,METAR WSSS 101030Z 36003KT 6000 -RA FEW015 FEW017TCU BKN160 25/25 Q1008 NOSIG
2025-12-10 11:33 UTC,METAR WSSS 101130Z 32003KT 8000 -RA FEW016 SCT060 BKN160 25/25 Q1009 NOSIG
2025-12-10 13:50 UTC,METAR WSSS 101330Z 32002KT 9999 FEW018 BKN160 26/25 Q1010 NOSIG
2025-12-10 14:52 UTC,METAR WSSS 101430Z 33003KT 9999 FEW018 SCT070 BKN300 26/24 Q1010 NOSIG
2025-12-10 15:44 UTC,METAR WSSS 101530Z 34004KT 9999 FEW018 SCT070 BKN160 26/24 Q1010 NOSIG
2025-12-10 16:56 UTC,METAR WSSS 101630Z 33004KT 9999 FEW018 SCT080 BKN160 26/24 Q1010 NOSIG
2025-12-10 17:47 UTC,METAR WSSS 101730Z 33003KT 300V360 9999 FEW018 SCT080 BKN160 26/24 Q1010 NOSIG
2025-12-10 18:55 UTC,METAR WSSS 101830Z 32004KT 9999 FEW018 BKN150 26/24 Q1009 NOSIG
2025-12-10 19:31 UTC,METAR WSSS 101930Z 33003KT 9999 FEW018 BKN150 26/24 Q1009 NOSIG
2025-12-10 20:48 UTC,METAR WSSS 102030Z 34003KT 9999 FEW018 BKN150 26/24 Q1008 NOSIG
2025-12-10 21:40 UTC,METAR WSSS 102130Z 33003KT 300V360 9999 FEW018 BKN150 26/24 Q1009 NOSIG
2025-12-10 22:42 UTC,METAR WSSS 102230Z VRB02KT 9999 FEW018 BKN150 26/24 Q1010 NOSIG
2025-12-10 23:33 UTC,METAR WSSS 102330Z VRB01KT 9999 FEW018 BKN150 26/24 Q1010 NOSIG
2025-12-11 03:51 UTC,METAR WSSS 110330Z 33003KT 270V020 9999 FEW020 BKN150 28/23 Q1011 NOSIG
2025-12-11 04:59 UTC,METAR WSSS 110430Z 32003KT 260V020 9999 FEW020 BKN160 29/23 Q1011 NOSIG
2025-12-11 05:47 UTC,METAR WSSS 110530Z 33003KT 250V020 9999 FEW020 BKN160 29/24 Q1010 NOSIG
2025-12-11 07:01 UTC,METAR WSSS 110630Z VRB02KT 9999 FEW020 SCT160 BKN270 30/23 Q1009 NOSIG
2025-12-11 07:42 UTC,METAR WSSS 110730Z VRB04KT 9999 FEW020 SCT160 BKN280 29/24 Q1008 NOSIG
2025-12-11 08:57 UTC,METAR WSSS 110830Z 18005KT 120V200 9999 FEW020 BKN280 29/24 Q1007 NOSIG
